,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
166,medtainer-xl-grinders,Medtainer XL Grinders,Smoke Arsenal Inc.,[22.12],False,[],,,Accessories,
167,megamelon-cartridge-1g,Megamelon Cartridge | 1g,SHRED,[33.63],False,[],,,Vaporizers,
168,milk-chocolate-cookies-cream,Milk Chocolate Cookies & Cream,Wabi Sabi,[8.85],False,[],,,Edible,
169,mint-cookie-blzrd-white-chocolate,Mint Cookie BLZRD White Chocolate,Legend,[5.31],False,[],,,Edible,
170,mirage-plus,Mirage Plus,SKOSHA,[37.17],False,[],,,Flower,
171,natural-charcoal-cbd-face-mask-100g,Natural Charcoal CBD Face Mask | 100g,Proofly,[40.71],False,[],,,Topicals,
172,nebula-ii-cbd-pre-roll-12-pack-4-2g,Nebula II CBD Pre-Roll 12-Pack | 4.2g,Divvy,[23.01],False,[],,,Pre-Rolls,
173,northern-widow-shatter-1g,Northern Widow Shatter | 1g,Qwest,[44.25],False,[],,,Concentrate,
174,og-cola,OG Cola,Sweet Justice,[6.19],False,[],,,Edible,
175,og-lemonade,OG Lemonade,Vicious Citrus,[8.84],False,[],,,Edible,
176,off-menu,Off Menu,Lot420,[44.25],False,[],,,Flower,
177,orange-chronic-16-oz,Orange Chronic 16 Oz,Smoke Arsenal Inc.,[13.28],False,[],,,Accessories,
178,orange-daydream-cbd-3-1-cartridge-1g,Orange Daydream CBD 3:1 Cartridge | 1g,Tenzo,[48.67],False,[],,,Vaporizers,
179,orange-hill-shatter-infused-pre-roll-3-pack-1-5g,Orange Hill Shatter Infused Pre-Roll 3-pack | 1.5g,Dab Bods,[30.97],False,[],,,Pre-Rolls,
180,orange-kush-ck-double-infused-pre-roll-1g,Orange Kush CK Double Infused Pre-Roll | 1g,Avana,[15.92],False,[],,,Pre-Rolls,
181,orange-kush-classic-soda-10mg,Orange Kush Classic Soda | 10mg,Keef,[6.2],False,[],,,Edible,
182,orange-kush-shatter-infused-pre-roll-1g,Orange Kush Shatter Infused Pre-Roll | 1g,Zest Cannabis,[22.12],False,[],,,Pre-Rolls,
183,orange-layer-cake-pre-roll-4-pack-2g,Orange Layer Cake Pre-Roll 4-pack | 2g,Potluck,[17.7],False,[],,,Pre-Rolls,
184,orange-monkey,Orange Monkey,liiv,[22.12],False,[],,,Flower,
185,orange-monkey-pre-roll-1g,Orange Monkey Pre-Roll | 1g,liiv,[8.85],False,[],,,Pre-Rolls,
186,orange-orbit,Orange Orbit,Deep Space,[8.85],False,[],,,Edible,
187,orange-passionfruit-sparkling-soda,Orange Passionfruit Sparkling Soda,Green Monké,[6.2],False,[],,,Edible,
188,organic-bubba-kush,Organic Bubba Kush,Whistler Cannabis Co.,[44.25],False,[],,,Flower,
189,organic-comatose-pre-roll-5-pack-3-5g,Organic Comatose Pre-Roll 5-pack | 3.5g,1964 Supply Co.,[37.17],False,[],,,Pre-Rolls,
190,organic-hemp-1-25-papers,"Organic Hemp 1.25"" Papers",RAW,[2.65],False,[],,,Accessories,
191,organic-hemp-kingsize-slim-papers,Organic Hemp Kingsize Slim Papers,RAW,[2.65],False,[],,,Accessories,
192,organic-la-kush-pre-roll-7-pack-3-5g,Organic LA Kush Pre-Roll 7-Pack | 3.5g,1964 Supply Co.,[35.4],False,[],,,Pre-Rolls,
193,organic-lebanese-hash-2g,Organic Lebanese Hash | 2g,1964 Supply Co.,[37.17],False,[],,,Concentrate,
194,organic-sweet-fuel-og-pre-roll-10-pack-3g,Organic Sweet Fuel OG Pre-Roll 10-pack | 3g,Treehugger,[35.4],False,[],,,Pre-Rolls,
195,pacific-island-punch-beverage,Pacific Island Punch Beverage,Sweet Justice,[8.84],False,[],,,Edible,
196,pacific-og-pre-roll-3-pack-1-5g,Pacific OG Pre-Roll 3-pack | 1.5g,Tantalus Labs,[13.27],False,[],,,Pre-Rolls,
197,peach-og-cartridge-1-2g,Peach OG Cartridge | 1.2g,BoxHot,[48.67],False,[],,,Vaporizers,
198,peach-ringz-cartridge-0-95g,Peach Ringz Cartridge | 0.95g,General Admission,[35.4],False,[],,,Vaporizers,
199,peak,Peak,Puffco,[341.6],False,[],,,Accessories,
200,penelope-10mg-softgels-15-pack,Penelope 10mg Softgels | 15-pack,Tweed,[26.55],False,[],,,Edible,
201,pineapple-habanero-hot-sauce,Pineapple Habanero Hot Sauce,Bogart's Kitchen,[11.5],False,[],,,Edible,
202,pineapple-nuken-pre-roll-12-pack-4-2g,Pineapple Nuken Pre-Roll 12-pack | 4.2g,Divvy,[23.01],False,[],,,Pre-Rolls,
203,pineapple-punch-live-resin-cartridge-1g,Pineapple Punch Live Resin Cartridge | 1g,Dab Bods,[48.67],False,[],,,Vaporizers,
204,pink-bubble-cartridge-1g,Pink Bubble! Cartridge | 1g,B!NGO,[33.63],False,[],,,Vaporizers,
205,pink-diamonds,Pink Diamonds,CALI,[33.63],False,[],,,Flower,
206,pink-kush,Pink Kush,Pure Sunfarms,"[21.24, 39.82, 70.8, 123.89]",False,[],,,Flower,
207,pink-kush-pre-roll-10-pack-3g,Pink Kush Pre-Roll 10-pack | 3g,Pure Sunfarms,[22.12],False,[],,,Pre-Rolls,
208,pink-kush-pre-roll-3-pack-1-5g,Pink Kush Pre-Roll 3-pack | 1.5g,Pure Sunfarms,[10.62],False,[],,,Pre-Rolls,
209,pink-lemonade-cartridge-1g,Pink Lemonade Cartridge | 1g,Divvy,[39.83],False,[],,,Vaporizers,
210,pink-star-fruit-thca-live-diamonds-1g,Pink Star Fruit THCA Live Diamonds | 1g,RAD,[39.83],False,[],,,Concentrate,
211,pink-wedding-kush-cartridge-1g,Pink Wedding Kush Cartridge | 1g,Original Stash,[35.4],False,[],,,Vaporizers,
212,platinum-grape,Platinum Grape,Organnicraft,[39.83],False,[],,,Flower,
213,pomegranate-4-1-cbd-thc-gummies,Pomegranate 4:1 CBD/THC Gummies,Pearls,[6.19],False,[],,,Edible,
214,pop-cone-pre-rolled-cones-3-ks-cones-pack-strawberry-jam,Pop Cone Pre Rolled Cones  - 3 KS Cones/pack - Strawberry Jam,Smoke Arsenal Inc.,[4.43],False,[],,,Accessories,
215,pre-rolled-tips-21-pack,Pre-Rolled Tips | 21-Pack,RAW,[1.76],False,[],,,Accessories,
216,puff-puff-pass-90mm-4-piece-grinder,Puff Puff Pass 90mm 4-Piece Grinder,Smoke Arsenal Inc.,[35.4],False,[],,,Accessories,
217,pumpkin-spice-latte-chocolate,Pumpkin Spice Latte Chocolate,Wabi Sabi,[8.85],False,[],,,Edible,
218,pure-hemp-classic-king-size-rolling-papers,Pure Hemp Classic King Size Rolling Papers,Smoke Arsenal Inc.,[2.65],False,[],,,Accessories,
219,purple-aya-pre-roll-7-pack-3-5g,Purple Aya Pre-Roll 7-Pack | 3.5g,1Spliff,[23.01],False,[],,,Pre-Rolls,
220,purple-jane-htfse-cartridge-1g,Purple Jane HTFSE Cartridge | 1g,Purple Hills,[44.25],False,[],,,Vaporizers,
221,quick-cbg-rise-shine-clementine-1-1,Quick CBG Rise & Shine Clementine 1:1,Wana,[7.96],False,[],,,Edible,
222,quick-island-punch-indica-gummies,Quick Island Punch Indica Gummies,Wana,[7.96],False,[],,,Edible,
223,quick-midnight-berry-indica-gummies,Quick Midnight Berry Indica Gummies,Wana,[8.85],False,[],,,Edible,
224,quick-orchard-peach-sativa-gummies,Quick Orchard Peach Sativa Gummies,Wana,[7.96],False,[],,,Edible,
225,quick-pineapple-coconut-indica-gummies,Quick Pineapple Coconut Indica Gummies,Wana,[7.96],False,[],,,Edible,
226,quick-strawberry-lime-1-1-gummies,Quick Strawberry Lime 1:1 Gummies,Wana,[7.96],False,[],,,Edible,
227,raw-wood-pokers-small,RAW Wood Pokers Small,Smoke Arsenal Inc.,[0.88],False,[],,,Accessories,
228,re-mix-fast-acting-dissolvable-thc-powder-2-pack,RE : MIX Fast Acting Dissolvable THC Powder | 2-Pack,Edison Cannabis Co.,[7.08],False,[],,,Edible,
229,riff-510-vape-battery-batteries,RIFF - 510 Vape Battery - Batteries,,[8.85],False,[],,,Accessories,
230,rntz,RNTZ,Strains Limited,[44.24],False,[],,,Flower,
231,rso-1g,RSO | 1g,Ellevia,[29.2],False,[],,,Concentrate,
232,rainbow-sherb-cartridge-0-95g,Rainbow Sherb Cartridge | 0.95g,General Admission,[37.17],False,[],,,Vaporizers,
233,raspberry-hippie-crippler-honey-oil-cartridge-1g,Raspberry Hippie Crippler Honey Oil Cartridge | 1g,Pura Vida,[35.4],False,[],,,Vaporizers,
234,raw-hemp-plastic-70mm-rolling-machine,Raw Hemp Plastic 70mm Rolling Machine,Smoke Arsenal Inc.,[4.42],False,[],,,Accessories,
235,raw-hemp-plastic-79mm-rolling-machine,Raw Hemp Plastic 79mm Rolling Machine,Smoke Arsenal Inc.,[4.42],False,[],,,Accessories,
236,real-fruit-raspberry-soft-chew-2-pack,Real Fruit Raspberry Soft Chew | 2-Pack,Wyld,[7.97],False,[],,,Edible,
237,relief-stick-30g,Relief Stick | 30g,Wildflower,[35.4],False,[],,,Topicals,
238,rockstar-kush-pre-roll-1g,Rockstar Kush Pre-Roll | 1g,Spinach,[10.62],False,[],,,Pre-Rolls,
239,root-beer-float-pre-roll-3-pack-1-5g,Root Beer Float Pre-Roll 3-pack | 1.5g,Bold Growth,[22.12],False,[],,,Pre-Rolls,
240,rootbeer-redebles-4-pack-10mg,Rootbeer Redebles 4-pack | 10mg,Redecan,[6.2],False,[],,,Edible,
241,roul-infus-water-hash-infused-pre-roll-1g,Roulé Infusé Water Hash Infused Pre-Roll | 1g,Beurre Blanc,[19.47],False,[],,,Pre-Rolls,
242,s-mores-chocolate-10mg,S'Mores Chocolate | 10mg,Back Forty,[4.42],False,[],,,Edible,
243,sourz-blue-raspberry-watermelon,SOURZ Blue Raspberry Watermelon,Spinach,[7.96],False,[],,,Edible,
244,sourz-cherry-lime-gummies,SOURZ Cherry Lime Gummies,Spinach,[7.96],False,[],,,Edible,
245,sourz-peach-orange-1-1,SOURZ Peach Orange 1:1,Spinach,[7.96],False,[],,,Edible,
246,sourz-strawberry-mango-gummies,SOURZ Strawberry Mango Gummies,Spinach,[7.96],False,[],,,Edible,
247,sage-n-sour-pre-roll-3-pack-1-5g,Sage N' Sour Pre-Roll 3-pack | 1.5g,MTL Cannabis,[15.93],False,[],,,Pre-Rolls,
248,salted-caramel-pretzel-bites,Salted Caramel Pretzel Bites,Bogart's Kitchen,[7.96],False,[],,,Edible,
249,sativa-cropped-harvest-14g,Sativa Cropped Harvest | 14g,Divvy,[48.68],False,[],,,Flower,
250,sativa-maui-wowie-cartridge-1g,Sativa Maui Wowie Cartridge | 1g,Ambr,[39.82],False,[],,,Vaporizers,
251,sativa-pre-rolls-2g,Sativa Pre-Rolls | 2g,Hiway,[8.85],False,[],,,Pre-Rolls,
252,sativa-shatter-1g,Sativa Shatter | 1g,Blendcraft,[54.87],False,[],,,Concentrate,
253,selects-pre-roll-1g,Selects Pre-Roll | 1g,Simply Bare,[15.93],False,[],,,Pre-Rolls,
254,se-orita,Señorita,SEÑORITA,[10.62],False,[],,,Edible,
255,slurricane-mint,Slurricane Mint,Space Flower,[35.4],False,[],,,Flower,
256,smoker-farms-master-kush-ultra,Smoker Farms Master Kush Ultra,BC Black,[35.4],False,[],,,Flower,
257,soothe-nourishing-hand-treatment,Soothe Nourishing Hand Treatment,Nuveev,[26.55],False,[],,,Topicals,
258,sour-apple-thc-gummies,Sour Apple THC Gummies,Pearls,[6.19],False,[],,,Edible,
259,sour-blue-razzberry-gummies-4-pack,Sour Blue Razzberry Gummies 4-pack,SHRED,[5.31],False,[],,,Edible,
260,sour-blueberry-hash-2g,Sour Blueberry Hash | 2g,RAD,[31.86],False,[],,,Concentrate,
261,sour-cherry-sour-peach-soft-chews,Sour Cherry & Sour Peach Soft Chews,San Rafael '71,[8.85],False,[],,,Edible,
262,sour-kush-pre-roll-7-pack-3-5g,Sour Kush Pre-Roll 7-pack | 3.5g,Good Supply,[39.82],False,[],,,Pre-Rolls,
263,sour-megamelon-gummies-2-pack,Sour Megamelon Gummies 2-pack,SHRED,[5.31],False,[],,,Edible,
264,sour-passionfruit-sativa-gummies,Sour Passionfruit Sativa Gummies,Wana,[7.96],False,[],,,Edible,
265,space-guava-cartridge-1g,Space Guava Cartridge | 1g,BZAM,[42.48],False,[],,,Vaporizers,
266,sparkling-blood-orange-low-dose-1-1-sparkling-beverage,Sparkling Blood Orange Low Dose 1:1 Sparkling Beverage,Little Victory,[5.31],False,[],,,Edible,
267,sparkling-dark-cherry-low-dose-1-1-sparkling-beverage,Sparkling Dark Cherry Low Dose 1:1 Sparkling Beverage,Little Victory,[5.31],False,[],,,Edible,
268,spicy-ginger-cookie,Spicy Ginger Cookie,Slow Ride Bakery,[6.19],False,[],,,Edible,
269,spinach-green-510-thread-battery,Spinach - Green 510 Thread Battery,Spinach,[10.62],False,[],,,Accessories,
270,standard-2-scent-bomb-spray-bottle,Standard 2 Scent Bomb Spray Bottle,Smoke Arsenal Inc.,[5.31],False,[],,,Accessories,
271,starwalker-kush-pre-roll-1g,Starwalker Kush Pre-Roll | 1g,Good Supply,[7.96],False,[],,,Pre-Rolls,
272,strawberry-10-1-sour-soft-chews,Strawberry 10:1 Sour Soft Chews,Wana,[7.96],False,[],,,Edible,
273,strawberry-alien-og-shatter-1g,Strawberry Alien OG Shatter | 1g,RAD,[39.82],False,[],,,Concentrate,
274,strawberry-cannacolada-cartridge-1g,Strawberry Cannacolada Cartridge | 1g,Fuego,[35.4],False,[],,,Vaporizers,
275,strawberry-diesel-99-ken-niionhont-sa-kaienkw-ra-water-ha-infused-pre-roll-1g,Strawberry Diesel 99 Ken’niionhontésa Kaienkwá:ra Water Ha Infused Pre-Roll | 1g,SOVE7EIGN,[18.58],False,[],,,Pre-Rolls,
276,strawberry-fruit-chews,Strawberry Fruit Chews,Olli,[7.96],False,[],,,Edible,
277,strawberry-ice-sativa-1-0-cartridge-1g,Strawberry Ice Sativa 1.0 Cartridge | 1g,Kolab Project,[48.67],False,[],,,Vaporizers,
278,strawnana-indica-1-0-cartridge-0-95g,Strawnana Indica 1:0 Cartridge | 0.95g,General Admission,[35.4],False,[],,,Vaporizers,
279,sugar-free-1-1-tropical-fruit-gems-4-pack,Sugar Free 1:1 Tropical Fruit Gems | 4-Pack,Olli,[7.96],False,[],,,Edible,
280,summer-punch-sparkling-beverage,Summer Punch Sparkling Beverage,Phresh Cannabis Cultivation,[6.19],False,[],,,Edible,
281,super-lemon-haze,Super Lemon Haze,Versus,[101.77],False,[],,,Flower,
282,tf-pink-kush,TF Pink Kush,CANWE,[8.85],False,[],,,Flower,
283,thc-coffee-pods-2-pack,THC Coffee Pods 2-pack,Steeprock Functional Coffee,[10.62],False,[],,,Edible,
284,thc-solid-milk-chocolate,THC Solid Milk Chocolate,Chowie Wowie,[5.31],False,[],,,Edible,
285,thca-diamond-dust-1g,THCA Diamond Dust | 1g,Bold Growth,[53.1],False,[],,,Concentrate,
286,toke-face-mask,TOKE Face Mask,,[10.62],False,[],,,Apparel,
287,toke-t-shirt-black-large,TOKE T-shirt Black LARGE,,[22.12],False,[],,,Apparel,
288,toke-t-shirt-black-medium,TOKE T-shirt Black MEDIUM,,[22.12],False,[],,,Apparel,
289,toke-t-shirt-blue-xlarge,TOKE T-shirt Blue XLARGE,,[22.12],False,[],,,Apparel,
290,toke-t-shirt-green-large,TOKE T-shirt Green LARGE,,[22.12],False,[],,,Apparel,
291,toke-t-shirt-green-medium,TOKE T-shirt Green MEDIUM,,[22.12],False,[],,,Apparel,
292,toke-t-shirt-green-small,TOKE T-shirt Green SMALL,,[22.15],False,[],,,Apparel,
293,toke-t-shirt-red-large,TOKE T-shirt Red LARGE,,[22.12],False,[],,,Apparel,
294,toke-t-shirt-red-medium,TOKE T-shirt Red MEDIUM,,[22.12],False,[],,,Apparel,
295,toke-t-shirt-red-xlarge,TOKE T-shirt Red XLARGE,,[22.12],False,[],,,Apparel,
296,toke-t-shirt-white-xlarge,TOKE T-shirt White XLARGE,,[22.12],False,[],,,Apparel,
297,terple,Terple,Tribal,[30.97],False,[],,,Flower,
298,the-craft-tasting-flight-micro-edition,The Craft Tasting Flight: Micro Edition,Cognōscente,[86.72],False,[],,,Flower,
299,the-dreamer-bath-bomb,The Dreamer Bath Bomb,Eve & Co.,[20.35],False,[],,,Topicals,
300,the-grape-unknown,The Grape Unknown,Deep Space,[8.85],False,[],,,Edible,
301,the-live-duo-blue-bandita-purple-romulan-1g,The Live Duo Blue Bandita & Purple Romulan | 1g,Earthwolf Farms,[42.48],False,[],,,Concentrate,
302,the-pothead-series-pothead-posters,The Pothead Series - Pothead Posters,,[5],False,[],,,Accessories,
303,the-snack-pack-sour-og-cheese,The Snack Pack Sour OG Cheese,Calyptra Light ,[10.62],False,[],,,Flower,
304,tremblant-hashish-2g,Tremblant Hashish | 2g,Tremblant Cannabis ,[35.4],False,[],,,Concentrate,
305,tropic-thunder,Tropic Thunder,SHRED,[30.97],False,[],,,Flower,
306,tropical-diesel-cbg-cartridge-1g,Tropical Diesel CBG Cartridge | 1g,Spinach,[39.83],False,[],,,Vaporizers,
307,tropicana-banana,Tropicana Banana,Argentia Gold,[19.47],False,[],,,Flower,
308,turmeric-arnica-recovery-balm,Turmeric & Arnica Recovery Balm,Rebound by Stewart Farms,[21.24],False,[],,,Topicals,
309,twisted-tangie-cartridge-1g,Twisted Tangie Cartridge | 1g,Feather,[35.4],False,[],,,Vaporizers,
310,twisted-terpene-infused-tips-berry-blue,Twisted Terpene Infused Tips (Berry Blue),Smoke Arsenal Inc.,[2.65],False,[],,,Accessories,
311,twisted-terpene-infused-tips-electric-lemonade,Twisted Terpene Infused Tips (Electric Lemonade),Smoke Arsenal Inc.,[2.65],False,[],,,Accessories,
312,twisted-terpene-infused-tips-peach-ice,Twisted Terpene Infused Tips - Peach Ice,Smoke Arsenal Inc.,[2.65],False,[],,,Accessories,
313,ultra-sour-pre-roll-10-pack-4g,Ultra Sour Pre-Roll 10-pack | 4g,HEXO,[21.24],False,[],,,Pre-Rolls,
314,unrefined-black-tips,Unrefined Black Tips,RAW,[0.88],False,[],,,Accessories,
315,unrefined-original-tips,Unrefined Original Tips,RAW,[0.89],False,[],,,Accessories,
316,upside-down-cake-pre-roll-1g,Upside Down Cake Pre-Roll | 1g,BLKMKT,[15.04],False,[],,,Pre-Rolls,
317,wappa-redees-pre-roll-10-pack-4g,Wappa Redees Pre-Roll 10-pack | 4g,Redecan,[22.12],False,[],,,Pre-Rolls,
318,wappa-redees-infused-pre-roll-10-pack-4g,Wappa Redees+ Infused Pre-Roll 10-pack | 4g,Redecan,[35.4],False,[],,,Pre-Rolls,
319,watermelon-fizz,Watermelon Fizz,Tweed,[5.31],False,[],,,Edible,
320,watermelon-sour-soft-chews,Watermelon Sour Soft Chews,Wana,[7.96],False,[],,,Edible,
321,white-chocolate-creamy-caramel,White Chocolate Creamy Caramel,Wabi Sabi,[8.85],False,[],,,Edible,
322,white-chocolate-macadamia-nut-cookie,White Chocolate Macadamia Nut Cookie,Slow Ride Bakery,[6.19],False,[],,,Edible,
323,white-rhino-glass-chillum,White Rhino Glass Chillum,Smoke Arsenal Inc.,[3.54],False,[],,,Accessories,
324,wild-berry-blaze-1-4-gummies-4-pack,Wild Berry Blaze 1:4 Gummies 4-pack,SHRED,[5.31],False,[],,,Edible,
325,wild-cherry-soft-chews-2-pack,Wild Cherry Soft Chews 2-pack,Kiva,[7.97],False,[],,,Edible,
326,wood-filter-tips-10-pack,Wood Filter Tips (10 Pack),,[8.84],False,[],,,Accessories,
327,xmg-alt-black-cherry,XMG ALT Black Cherry,XMG,[8.85],False,[],,,Edible,
328,xmg-blue-raspberry-beverage,XMG Blue Raspberry Beverage,XMG,[8.85],False,[],,,Edible,
329,xmg-citrus-beverage,XMG Citrus Beverage,XMG,[8.85],False,[],,,Edible,
330,xmg-mango-pineapple-beverage,XMG Mango Pineapple Beverage,XMG,[8.85],False,[],,,Edible,
331,xmg-tropical-fruit-beverage,XMG Tropical Fruit Beverage,XMG,[8.85],False,[],,,Edible,
332,xmg-watermelon-beverage,XMG Watermelon Beverage,XMG,[8.85],False,[],,,Edible,
333,zsweet,Zsweet,5 POINTS,[23.01],False,[],,,Flower,
334,dosi-gmosi-6,dosi-GMOsi #6,OGEN,[35.4],False,[],,,Flower,
